ad_id,first_seen_date,snapshot_date,before,after
1858833707245601,20260317,20260403,(재)_창원_인플방문후기_먹으면서(대읽남)_260306_off,(재)_창원_인플방문후기_먹으면서(대읽남)_260306
1858833707245617,20260317,20260403,(재)_창원_인플방문후기_맘껏먹는 다이어트 한달후기_260306_off,(재)_창원_인플방문후기_맘껏먹는 다이어트 한달후기_260306
1858834125348929,20260317,20260401,(재)_천안_인플방문후기_맘껏먹는 다이어트 한달후기_260306,(재)_천안_인플방문후기_맘껏먹는 다이어트 한달후기_260306_off
1858834125348929,20260317,20260403,(재)_천안_인플방문후기_맘껏먹는 다이어트 한달후기_260306_off,(재)_천안_인플방문후기_맘껏먹는 다이어트 한달후기_260306
1859155119020354,20260317,20260401,(재)_창원_인플방문후기_끝내주는 다이어트(창원언니쓰)_260211,(재)_창원_인플방문후기_끝내주는 다이어트(창원언니쓰)_260211_off
1859155119020354,20260317,20260403,(재)_창원_인플방문후기_끝내주는 다이어트(창원언니쓰)_260211_off,(재)_창원_인플방문후기_끝내주는 다이어트(창원언니쓰)_260211
1859155119020370,20260317,20260403,(재)_창원_진료셀프캠_창원 다이어트 성지_260309_off,(재)_창원_진료셀프캠_창원 다이어트 성지_260309
1859155119020386,20260317,20260401,(재)_창원_진료셀프캠_밥빵면 못끊던 40대 여성이_260309,(재)_창원_진료셀프캠_밥빵면 못끊던 40대 여성이_260309_off
1859155119020386,20260317,20260403,(재)_창원_진료셀프캠_밥빵면 못끊던 40대 여성이_260309_off,(재)_창원_진료셀프캠_밥빵면 못끊던 40대 여성이_260309
1859176947897409,20260317,20260401,(재)_창원_진료QnA_지긋지긋 40대 뱃살 고생없이_260309,(재)_창원_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off
1859176947897409,20260317,20260403,(재)_창원_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off,(재)_창원_진료QnA_지긋지긋 40대 뱃살 고생없이_260309
1859177074475329,20260317,20260401,(재)_서울_진료QnA_지긋지긋 40대 뱃살 고생없이_260309,(재)_서울_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off
1859177074475329,20260317,20260403,(재)_서울_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off,(재)_서울_진료QnA_지긋지긋 40대 뱃살 고생없이_260309
1859177120384098,20260317,20260401,(재)_부평_진료QnA_지긋지긋 40대 뱃살 고생없이_260309,(재)_부평_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off
1859177120384098,20260317,20260403,(재)_부평_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off,(재)_부평_진료QnA_지긋지긋 40대 뱃살 고생없이_260309
1859177144096114,20260317,20260401,(재)_일산_진료QnA_지긋지긋 40대 뱃살 고생없이_260309,(재)_일산_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off
1859177144096114,20260317,20260403,(재)_일산_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off,(재)_일산_진료QnA_지긋지긋 40대 뱃살 고생없이_260309
1859177169313266,20260317,20260401,(재)_대구_진료QnA_지긋지긋 40대 뱃살 고생없이_260309,(재)_대구_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off
1859177169313266,20260317,20260403,(재)_대구_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off,(재)_대구_진료QnA_지긋지긋 40대 뱃살 고생없이_260309
1859177183413426,20260317,20260401,(재)_수원_진료QnA_지긋지긋 40대 뱃살 고생없이_260309,(재)_수원_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off
1859177183413426,20260317,20260403,(재)_수원_진료QnA_지긋지긋 40대 뱃살 고생없이_260309_off,(재)_수원_진료QnA_지긋지긋 40대 뱃살 고생없이_260309
1859357856823633,20260317,20260403,(재)_부평_진료셀프캠_밥빵면 못끊던 40대 여성이_260309_off,(재)_부평_진료셀프캠_밥빵면 못끊던 40대 여성이_260309
1859357856823649,20260317,20260401,(재)_부평_진료셀프캠_인천사는 50대 직장인_260311,(재)_부평_진료셀프캠_인천사는 50대 직장인_260311_off
